GMID,story_1_SDR_rotD50,story_1_PFA_rotD50,story_2_SDR_rotD50,story_2_PFA_rotD50,story_3_SDR_rotD50,story_3_PFA_rotD50,story_4_SDR_rotD50,story_4_PFA_rotD50,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM738_RSN5595,0.0005225901157255308,0.004139378610064974,0.00035276018390943394,0.0047598277966389,0.00024995299668289757,0.00660055789486497,1.3289497453471274e-05,0.008481950014966771,3.7693049909785,2.900157865314404,0.536295457606731,4.840658482914874,35.74848868942258,1.1561727429507107,2.836319204727243,1.0253937346024105,40.88,60.25
GM739_RSN5597,0.0008373534698134291,0.029365536899947513,0.0005679452606426967,0.03477677615746277,0.000368167084579204,0.04295417088034855,7.774905917874015e-05,0.05503571368863549,21.342846860121927,14.50293335079061,1.3390276184721992,29.5084366818119,135.37774744069688,5.431306996493028,23.344820343863507,2.285781081545557,12.760000000000003,28.590000000000003
GM740_RSN5599,0.000925452965946197,0.026653875073501712,0.00048276060611795703,0.028225807783845352,0.0003473871927543331,0.03385868279598189,5.953443418286062e-05,0.039766107744882116,20.041239363168334,13.39064876219418,1.1538547144529745,18.260090511018184,115.419197679245,2.607351014604228,15.864470967625817,1.537988435934005,29.8,43.39
GM741_RSN5601,0.001776223017148399,0.05435235477289002,0.0009293186511430387,0.07490515112282761,0.0005764171205703201,0.08875868491638216,0.0002008063549032662,0.11117616426802313,86.78803147115339,17.06236989733861,1.922115083036657,34.69053808167329,159.4326139074508,4.618588751438914,25.78758680506977,1.5773467480080396,17.21,32.540000000000006
GM742_RSN5620,0.0024583201449931524,0.3257717265633629,0.002165239483562541,0.35111294959048045,0.0014223767748323935,0.41678099236553773,0.0009249756339307386,0.5781090494232399,439.5442987830851,183.48633006290237,13.10483129444104,366.8614795467119,1540.7695473162644,40.36780447408104,254.84127662750808,11.20391919413549,10.769999999999996,29.12
GM743_RSN5627,0.002381417719595941,0.14850547536186154,0.0018457893624270988,0.21666003234132764,0.0009138461873023996,0.24353248362904983,0.0004798739996270231,0.307727433034684,253.4359955388032,70.46791383839206,6.442926235762313,143.74849398591428,440.6344781196622,17.03769400966196,85.47138661250881,3.884220882729005,11.72,24.89
GM744_RSN5643,0.0015279430256992061,0.05467700834531804,0.0009247751280046491,0.06546382662766913,0.000473730570901367,0.07351596590108393,0.00013454547063323406,0.08496487265012861,48.17147758568278,23.52861211779247,1.962046326865128,45.5759390242148,250.903000539188,6.602803392144981,25.20100196666237,4.453272602864447,22.0,49.17
GM745_RSN5652,0.003134085371860766,0.34734309184357565,0.0025782065915858294,0.38088574154759525,0.001429344601410214,0.4393663890621792,0.0008446477105950123,0.5307981171247698,376.5254116212437,174.38561521031596,12.73255298926598,311.3286209230725,1267.990398461925,63.25632904325268,244.41340637392997,29.249313705173687,9.12,31.4
GM746_RSN5677,0.0018838497191684036,0.1998547827887219,0.0010163717960345697,0.22370950994696254,0.0008376060763401537,0.19460579264350542,0.0004335302840775785,0.27577408415528387,132.2647494055286,58.19750991903667,6.280565728384846,123.9943177748955,535.0138376812555,26.060076416778795,84.29659191804444,11.931766871735054,10.79,32.55
GM747_RSN5682,0.001280168686279271,0.08154394064686404,0.0010303313582908408,0.10281919091986308,0.0006230494579140921,0.12089597860352295,0.0002197421513307616,0.1378975433902092,109.73081388015996,52.80505855791944,6.670696162279896,120.88737087706788,302.2509347859097,27.87035399858603,43.50178461999442,9.58886496919015,6.880000000000003,18.770000000000003
